clave	concepto	unidad	precio
GF13FA	Suministro y colocación de poste galvanizado calibre 18 tipo ligero, de 42 mm de diámetro, intermedio, para cerca de malla de 2.00 m de altura, incluye: excavación, tapón, tensores, amarres y cimentación de concreto f'c= 100 kg/cm2.	pieza	316.93
GF13FB	Suministro y colocación de poste galvanizado calibre 18 tipo ligero, de 48 mm de diámetro, intermedio, para cerca de malla de 2.00 m de altura, incluye: excavación, amarres, tensor, tapón y cimentación de concreto f'c=100 kg/cm2.	pieza	333.93
GF13GB	Suministro y colocación de poste galvanizado cédula 30 tipo pesado de 60 mm de diámetro, para esquina, en cerca de malla de 2.00 m de altura, incluye: excavación, capucha, tensores, cerchas, abrazaderas y cimentación de concreto f'c= 100 kg/cm2.	pieza	682.78
GF13HB	Suministro y colocación de poste de arranque cédula 30 tipo pesado de 60 mm de diámetro, para cerca de 2.00 m de altura, incluye: excavación, capucha, tensor, cercha, abrazaderas y cimentación de concreto f'c= 100 kg/cm2.	pieza	581.32
GF13HC	Suministro y colocación de poste de arranque cédula 30 tipo pesado de 73 mm de diámetro, para cerca de 2.00 m de altura, incluye: excavación, capucha, tensor, cercha, abrazaderas y cimentación de concreto f'c= 100 kg/cm2.	pieza	641.62
GF13IB	Suministro y colocación de poste para puerta cédula 30 tipo pesado de 73 mm de diámetro, para cerca de 2.00 m de altura, incluye: excavación, capucha, tensor, cercha, abrazaderas y cimentación de concreto f'c= 100 kg/cm2.	pieza	550.98
GF13J	Suministro y colocación de retenida y barras para cercas de malla galvanizada, incluye. Los materiales, la mano de obra, la herramienta y el equipo necesarios.		
GF13JB	Suministro y colocación de retenida horizontal de 42 mm de diámetro, cédula 30 tipo pesado, para cerca.	m	120.54
GF13JF	Suministro y colocación de barra inferior de 42 mm de diámetro, para cerca.	m	77.77
GF13JL	Suministro y colocación de barra superior de 42 mm de diámetro, para cerca.	m	77.77
GF13K	Suministro y colocación de espada simple.		
GF13KD	Suministro y colocación de espada simple, en cerca.	pieza	40.81
GF13M	Suministro y colocación de alambre galvanizado, en cercas.		
GF13MB	Suministro y colocación de alambre liso galvanizado calibre número 10, en cerca.	m	4.97
GF13MC	Suministro y colocación de alambre de púas número 12.5, en cerca.	m	6.27
GF13N	Suministro y colocación de puerta corrediza, incluye: accesorios para su colocación.		
GF13NB	Suministro y colocación de puerta de malla ciclónica, de una hoja de 3.00 m de ancho y 2.00 m de altura, en cerca.	pieza	2,836.61
GF13NC	Suministro y colocación de puerta de malla ciclónica, de dos hojas de 3.00 m de ancho y 2.00 m de altura, en cerca.	pieza	3,144.81
GF13P	Suministro y colocación de obstáculo de cuchillas arpón-bisturí (concertina)		
GF13PB	Suministro y colocación de obstáculo sencillo, concertina con cuchilla (Concermax arpón doble 45*4), con fijación de tubo galvanizado de 48 mm de diámetro, cal. 18 y 50 cm de altura, soldado a placa de acero de 10x 10 cm, colocada sobre el muro y fijada con taquetes.	m	442.74
GF13PH	Suministro y colocación de obstáculo (Concermax inoxidable doble 60*5), colocado en poste galvanizado de 48 mm de diámetro cal. 18, 70 cm de altura y 20 cm ahogado sobre el muro.	m	547.41
GF13PJ	Suministro y colocación de obstáculo doble o industrial de 63.5 cm (25") de diámetro, concertina con cuchilla D.H.B. (arpón bisturí) modelo Maze, Eximco, colocado en poste galvanizado de 48 mm de diámetro cal. 18, 70 cm de altura, soldado a placa de acero de 10 x 10 cm, colocada sobre el muro y fijada con taquetes.	m	538.21
GF14	Instalación de malla ciclónica galvanizada.		
GF14B	Instalación de malla ciclónica galvanizada calibre No. 10.5 y abertura de 55 x 55 mm.		
GF14BB	Instalación de malla ciclónica calibre 10.5.	m2	20.53
GF14BG	Instalación de malla ciclónica calibre 12.5.	m2	20.53
GF14D	Instalación de postes de línea , incluye: excavación, capucha, accesorios y cimentación de concreto resistencia normal f´c= 100 kg/cm2, de 0.20 x 0.20 x 0.50 m.		
GF14DB	Instalación de poste galvanizado cédula 30 tipo pesado, de 48 mm de diámetro, de línea para cerca de 2.00 m de altura, incluye: excavación, capucha, accesorios y cimentación de concreto resistencia normal f´c = 100 kg/cm2 de 0.20 x 0.20 x 0.50 m.	pieza	103.87
GF14E	Instalación de postes esquineros, incluye: excavación, capucha, accesorios y cimentación de concreto resistencia normal f´c= 100 kg/cm2, de 0.30 x 0.30 x 0.70 m.		
GF14EB	Instalación de poste galvanizado cédula 30 tipo pesado, de 60 mm de diámetro, para esquina en cerca de 2.00 m de altura, incluye: excavación, capucha, accesorios y cimentación de concreto resistencia normal f´c. = 100 kg/cm2 de 0.30 x 0.30 x 0.70 m.	pieza	113.11
GF14F	Instalación de postes de arranque, incluye: excavación, capucha, accesorios y cimentación de concreto resistencia normal f´c= 100 kg/cm2.		
GF14FB	Instalación de poste galvanizado cédula 30 tipo pesado, de 60 mm de diámetro para arranque en cerca de 2.00 m de altura, incluye: excavación, capucha, accesorios y cimentación de concreto resistencia normal f´c. = 100 kg/cm2, de 0.30 x 0.30 x 0.70 m.	pieza	113.11
GF14FC	Instalación de poste galvanizado cédula 30 tipo pesado, de 73 mm de diámetro para arranque en cerca de 2.00 m de altura, incluye: excavación, capucha, accesorios y cimentación de concreto de Fc. = 100 kg/cm2, de 0.30 x 0.30 x 0.70 m.	pieza	113.11
GF14G	Instalación de postes para puerta, incluye: excavación, capucha, accesorios y cimentación de concreto de f´c= 100 kg/cm2.		
GF14GB	Instalación de poste galvanizado para puerta cédula 30 tipo pesado, de 73 mm de diámetro para cerca de 2.00 m de altura.	pieza	113.11
GF14H	Instalación de postes para retenida horizontal, incluye: accesorios.		
GF14HB	Instalación de barra para retenida, de 42 mm de diámetro cédula 30 tipo pesado, para cerca de 2.00 m de altura.	m	24.62
GF14K	Instalación de alambre galvanizado.		
GF14KB	Instalación de alambre liso número 10.	m	2.45
GF14KC	Instalación de alambre de púas número 10.	m	3.10
GF14L	Instalación de puerta tipo industrial, incluyendo: excavación, cimentación con concreto f'c= 100 kg/cm2 y accesorios.		
GF14LB	Instalación de puerta tipo industrial de una hoja de 4.00 m de ancho y 2.00 m de altura.	pieza	769.32
GF14MB	Instalación de puerta tipo industrial de dos hojas de 4.00 m de ancho y 2.00 m de altura.	pieza	769.32
GG13	Plantillas de pedacería de tabique o concreto simple, incluye: los materiales, la mano de obra para el acarreo libre, preparación de la superficie, elaboración y colocación del concreto o pedazos de tabique, nivelación y compactación, limpieza, la herramienta y el equipo necesarios. Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.02.004.		
GG13AB	Plantilla de pedacería de tabique, de 5 cm de espesor, apisonada y lechadeada con mortero calhidra arena en proporción 1:5.	m2	101.10
GG13AG	Plantilla de pedacería de tabique, de 10 cm de espesor, apisonada y lechadeada con mortero calhidra arena en proporción 1:5.	m2	159.14
GG13BB	Plantilla de concreto hidráulico fraguado normal, resistencia f'c= 100 kg/cm2, de 5 cm de espesor, incluye: preparación del fondo de la excavación, nivelación y compactación.	m2	123.72
GG13BC	Plantilla de concreto hidráulico fraguado normal, resistencia f´c= 100 kg/cm2, de 6 cm de espesor, incluye: preparación del fondo de la excavación, nivelación y compactación.	m2	147.94
GG13BE	Plantilla de concreto hidráulico fraguado normal, resistencia f´c= 100 kg/cm2, de 8 cm de espesor, incluye: preparación del fondo de la excavación, nivelación y compactación.	m2	190.07
GH	Firmes, pisos de concreto hidráulico y pisos de piezas prefabricadas, incluye: los materiales, adhesivos, preparación de la superficie, trazo, elaboración y colocación del concreto, acabado, colocación de las piezas prefabricadas, lechadeado, limpieza, la herramienta y el equipo necesarios para la correcta ejecución de los trabajos. Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.02.041.		
GH12	Firme de concreto hidráulico.		
GH12B	Firmes de concreto hidráulico elaborado en obra sin terminado especial, incluye: los materiales, la mano de obra para la preparación de la base, colocación, curado, la herramienta y el equipo necesarios.		
GH12BB	Firme de concreto hidráulico fraguado normal, resistencia f'c= 150 kg/cm2, de 5 cm de espesor	m2	140.10
GH12BC	Firme de concreto hidráulico fraguado normal, resistencia f'c= 150 kg/cm2, de 7 cm de espesor	m2	186.50
GH12BE	Firme de concreto hidráulico fraguado normal, resistencia f'c= 150 kg/cm2, de 10 cm de espesor	m2	255.17
GH12CB	Firme de concreto hidráulico fraguado normal, resistencia f'c= 200 kg/cm2, de 5 cm de espesor	m2	148.07
GH12CD	Firme de concreto hidráulico fraguado normal, resistencia f'c= 200 kg/cm2, de 7 cm de espesor	m2	197.65
GH12CE	Firme de concreto hidráulico fraguado normal, resistencia f'c= 200 kg/cm2, de 10 cm de espesor	m2	271.10
GH12DG	Firme de concreto hidráulico fraguado normal, resistencia f´c=250 kg/cm2, de 7 cm de espesor, reforzado con malla electrosoldada 66-88.	m2	263.37
GH13	Pisos de concreto hidráulico		
GH13B	Pisos de concreto hidráulico elaborado en obra, acabado pulido integral con llana metálica, incluye: los materiales, la mano de obra, la herramienta y el equipo necesario, preparación de la base.		
GH13BD	Piso de concreto hidráulico fraguado normal, resistencia f'c= 150 kg/cm2, de 8 cm de espesor	m2	242.86
GH13BE	Piso de concreto hidráulico fraguado normal, resistencia f'c= 150 kg/cm2, de 10 cm de espesor	m2	292.22
GH13BM	Rampa de acceso de 1.20 m de ancho, 2.0 de longitud y 8 cm de espesor, para personas con capacidades diferentes, incluye: corte, demolición, preparación de la superficie, suministro y colocación de concreto hidráulico fraguado normal resistencia f´c= 150 kg/cm2.	pieza	1,274.70
GH13C	Pisos de concreto hidráulico, suministrado por proveedor incluye: los materiales, la mano de obra para el pulido integral con llana metálica, terminado con brocha de pelo, las aristas acabadas con volteador, la herramienta y el equipo necesarios.		
GH13CD	Piso de concreto hidráulico fraguado normal, resistencia f'c= 150 kg/cm2, suministrado por proveedor, de 8 cm de espesor	m2	214.97
GH13CE	Piso de concreto hidráulico fraguado normal, resistencia f'c= 150 kg/cm2, suministrado por proveedor, de 10 cm de espesor	m2	257.29
GH13CF	Piso de concreto hidráulico fraguado normal, resistencia f'c= 150 kg/cm2, suministrado por proveedor, de 12 cm de espesor	m2	296.32
GH13CJ	Piso de concreto hidráulico fraguado normal, resistencia f'c= 200 kg/cm2, suministrado por proveedor, de 8 cm de espesor	m2	225.04
GH13CK	Piso de concreto hidráulico fraguado normal, resistencia f'c= 200 kg/cm2, suministrado por proveedor, de 10 cm de espesor	m2	269.93
GH13CL	Piso de concreto hidráulico fraguado normal, resistencia f'c= 200 kg/cm2, suministrado por proveedor, de 12 cm de espesor	m2	311.40
GH13DC	Piso de concreto hidráulico fraguado normal, resistencia f'c= 250 kg/cm2, suministrado por proveedor, de 8 cm de espesor	m2	236.87
GH13DD	Piso de concreto hidráulico fraguado normal, resistencia f'c= 250 kg/cm2, suministrado por proveedor, de 10 cm de espesor	m2	284.74
GH13DF	Piso de concreto hidráulico fraguado normal, resistencia f'c= 250 kg/cm2, suministrado por proveedor, de 12 cm de espesor	m2	329.16
GH14B	Pisos de concreto hidráulico elaborado en obra, reforzado con malla electro soldada, incluye: los materiales, la mano de obra para el acabado escobillado y en las aristas con volteador, la herramienta y el equipo necesarios.		
GH14BB	Piso de concreto hidráulico elaborado en obra, fraguado normal, resistencia f'c= 150 kg/cm2, de 5 cm de espesor reforzado con malla electro soldada 66 - 1010.	m2	189.76
GH14BC	Piso de concreto hidráulico elaborado en obra, fraguado normal, resistencia f'c= 150 kg/cm2, de 8 cm de espesor reforzado con malla electro soldada 66 - 1010	m2	279.40
GH14CB	Piso de concreto hidráulico elaborado en obra, fraguado normal, resistencia f'c= 200 kg/cm2, de 10 cm de espesor reforzado con malla electro soldada 66 - 1010.	m2	344.69
GH14FB	Sello de juntas de contracción de sección 1 x 2 cm, con sellador elástico líquido autonivelante Dureflex 700 ASL y un cordón de respaldo de poliuretano expandido, Sellaquim Backer Rod de 6.35 mm de diámetro, en pavimento de concreto hidráulico, previa preparación de la superficie.	m	41.83
GH14FD	Sello de juntas de contracción de sección 1 x 2 cm, con sellador elástico líquido autonivelante Policreto ASF y un cordón de respaldo de poliuretano expandido, Backer Rod de 13.00 mm de diámetro, en pavimento de concreto hidráulico, previa preparación de la superficie.	m	38.22
GH14FK	Curado de pavimento de concreto hidráulico a base de una capa de curado parafínico micro emulsionado con agua, Curaquim blanco ó rojo.	m2	10.84
GH14HL	Curado de pavimento de concreto hidráulico a base de una capa de curado parafínico micro emulsionado con agua. Curacreto blanco JR T1CA.	m2	9.11
GH15B	Ranuras en pisos de concreto.		
GH15BB	Ranura en piso de concreto para alojar tubos conduit, incluye: resane con mortero cemento arena 1:4.	m	89.75
GH15C	Suministro y colocación de mortero cemento arena en proporción 1:.4.		
GH15CB	Suministro y colocación de mortero cemento arena 1:4, para formar capa de 3 cm de espesor, acabado pulido con llana metálica.	m2	101.54
GH16	Pisos de loseta, asentados con pasta adhesiva Crest y lechadeado, incluye: los materiales, la mano de obra, la herramienta y el equipo necesarios.		
GH16BC	Piso de loseta de 44 x 44 cm, modelo Cienega, Porcelanite o similar, asentado con pasta adhesiva, lechadeado con cemento blanco.	m2	344.56
GH16DB	Piso de loseta de 33.3 x 33.3 cm modelo Dual Vitromex o similar, asentado con pasta adhesiva y lechadeado con cemento para boquilla.	m2	353.90
GH16EC	Piso de loseta de 33.3 x 33.3 cm modelo Sandalo Vitromex o similar, asentado con pasta adhesiva y lechadeado con cemento para boquilla.	m2	333.88
GH16ED	Piso de loseta de 45 x 45 modelo Novelda Vitromex o similar, asentado con pasta adhesiva y lechadeado con cemento para boquilla.	m2	350.57
GH16GB	Piso de loseta de 30 x 30 cm modelo Kripton Porcelanite o similar, asentada con pasta adhesiva Set pegazulejo 3a generación, lechadeado con cemento blanco.	m2	381.48
GH16HB	Piso de loseta de 33 x 33 cm modelo Cadiz Lamosa o similar, asentado con pasta adhesiva y lechadeado con cemento para boquillas.	m2	312.22
GH16HD	Piso de loseta de 33.2 x 33.2 cm modelo Jupiter Porcelanite o similar, asentado con pasta adhesiva y lechadeado con cemento para boquillas.	m2	300.86
GH16HJ	Piso de loseta de 44 x 44 cm modelo Maderas Duela, Porcelanite o similar, asentado con pasta adhesiva y lechadeado con cemento para boquillas.	m2	348.48
GH16JB	Piso de loseta de 44 x 44 cm modelo Cantera Kayra, Lamosa o similar, asentado con pasta adhesiva Set pegazulejo 3a. generación, lechadeado con cemento blanco.	m2	331.84
GH18B	Pisos de loseta de concreto Bloconsa o similar, asentados con mortero cemento arena 1:4, incluye: los materiales, la mano de obra, la herramienta y el equipo necesarios.		
GH18BB	Piso de cuadrado de concreto color gris de 4 x 20 x 20 cm, Bloconsa o similar, asentado con mortero cemento arena 1:4	m2	459.27
GH18BC	Piso de cuadrado de concreto color negro de 4 x 20 x 20 cm, Bloconsa o similar, asentado con mortero cemento arena 1.4	m2	462.95
GH18BD	Piso de cuadrado de concreto color gris de 6 x 20 x 20 cm, asentado con mortero cemento-arena 1:4 y lechadeado con cemento blanco.	m2	363.51
GH18BE	Piso de loseta de concreto color gris de 6 x 40 x 40 cm, Bloconsa o similar, asentado con mortero cemento arena 1.4	m2	468.65
GH18BG	Piso de loseta de concreto de color negro de 6 x 40 x 40 cm, Bloconsa o similar, asentado con mortero cemento arena 1:4	m2	495.31
GH18BK	Piso de loseta de concreto de color negro de 6 x 50 x 50 cm, Bloconsa o similar, asentado con mortero cemento arena 1:4	m2	512.67
